32	12	13	10	24
42	17	11	9	34
3	37	22	8	30
13	2	41	35	4
25	40	3	4	16
5	9	42	17	33
2	35	16	41	34
27	35	23	34	41
15	27	7	6	11
39	9	8	20	40
18	19	10	5	1
26	33	13	5	25
36	41	39	26	1
29	4	37	43	24
6	29	36	44	24
25	9	1	7	5
30	31	5	28	4
4	30	22	24	36
17	44	30	20	19
14	28	20	23	24
43	41	11	15	30
9	35	7	29	5
3	44	25	1	27
11	7	5	1	3
34	17	30	16	14
38	11	30	24	23
43	9	16	12	39
22	19	16	21	42
37	22	15	39	25
30	24	22	36	12
5	38	6	3	23
4	8	27	45	36
9	35	13	34	37
20	7	37	45	43
12	13	41	1	35
3	36	6	10	39
31	8	1	41	38
31	4	33	24	39
19	27	32	31	21
31	40	16	23	13
34	17	41	30	8
18	21	10	13	44
9	8	11	10	25
29	24	8	36	9
8	39	14	41	43
32	16	44	19	11
13	4	36	32	8
44	16	5	13	2
24	34	4	33	15
2	34	29	23	31
3	44	16	28	32
3	40	10	5	41
10	26	4	3	42
28	39	11	7	8
43	35	7	22	31
5	28	35	22	24
42	14	6	8	9
44	12	42	9	18
37	14	27	42	29
11	27	36	34	31
9	27	12	28	13
15	36	26	33	44
33	23	44	42	15
28	40	5	21	36
44	30	19	27	16
19	8	41	12	39
37	45	39	31	29
34	41	13	33	35
41	29	15	27	14
3	2	36	10	44
36	23	18	20	42
28	35	25	44	22
8	22	3	34	11
24	8	25	37	14
5	28	41	11	29
26	1	14	24	42
39	32	16	33	42
16	8	22	25	26
40	4	35	27	17
26	39	34	25	5
31	21	20	11	36
2	33	39	28	6
1	4	11	39	41
43	8	40	34	29
39	11	28	5	40
36	11	18	17	19
41	19	29	8	9
28	1	36	12	27
45	9	12	26	3
40	5	15	31	18
36	6	23	35	29
29	18	16	1	30
42	25	17	18	37
17	35	39	38	33
29	20	18	9	37
29	41	39	42	10
17	29	22	5	34
44	5	15	41	1
3	32	44	29	13
18	5	16	37	43
12	23	22	6	16
34	17	13	3	36
26	45	20	24	6
4	33	16	12	21
32	24	5	13	18
32	45	43	23	42
28	3	13	8	17
10	11	19	7	45
34	25	17	33	20
20	40	28	16	7
34	26	20	11	5
8	20	4	9	27
17	26	41	15	30
12	39	1	35	15
44	35	3	31	7
44	19	9	22	41
23	35	17	20	26
7	25	20	10	3
19	31	7	14	22
18	6	14	13	9
3	8	31	7	35
28	6	37	44	33
25	19	30	11	45
36	3	2	29	17
34	38	42	9	16
45	38	2	7	21
40	15	37	13	1
25	31	44	21	10
14	15	43	16	23
5	28	25	29	33
17	26	2	31	12
26	21	24	40	8
32	21	12	11	40
17	28	40	11	14
6	29	31	22	38
38	4	14	15	31
40	41	30	2	32
21	2	29	25	4
11	22	6	42	34
6	35	3	31	1
43	44	21	8	41
7	28	15	20	23
7	34	41	4	36
37	28	16	7	6
39	32	8	3	23
39	17	20	9	10
35	31	9	25	29
26	14	25	42	35
36	13	23	41	4
8	2	36	5	6

